Date	Surveyors	Reserve	Plot	Subplot	Type	Ace_vul	Air_sp.	Ant_sca	Asp_con	Aus_big	Aus_sca	Ave_sp.	Bot_mac	Bri_min	Bro_dia	Chr_api	Gly_tab	Goo_pin	Hol_lan	Hyp_per	Hyp_rad	Jun_foc	Lom_mul	Mic_sti	Nas_nee	Per_exo	Pet_nan	Pha_aqu	Pla_lan	Pla_var	Poa_sie	Ryt_car	Ryt_pal	Ryt_sp1	Ryt_sp3	The_tri	Tri_ela	Tri_ste	Tri_sub	Tri_pyg	Vit_mue	Vul_sp.
29/9/15	RB	Kama	K1S	a	Cover	20	0	0	0	0	0	20	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0
29/9/15	RB	Kama	K1S	b	Cover	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	10	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0
29/9/15	RB	Kama	K1S	c	Cover	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0
29/9/15	RLB	Kama	K1S	d	Cover	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	30	0	0	0	0	0	0
29/9/15	RLB	Kama	K1C	a	Cover	0	0	0	0	0	0	30	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
29/9/15	RLB	Kama	K1C	b	Cover	0	0	0	0	0	0	70	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
29/9/15	RLB	Kama	K1C	c	Cover	0	0	0	0	0	10	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
29/9/15	RLB	Kama	K1C	d	Cover	0	0	0	0	0	0	10	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
29/9/15	RLB	Kama	K2S	a	Cover	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29/9/15	RLB	Kama	K2S	b	Cover	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	10	0	0	0
29/9/15	RLB	Kama	K2S	c	Cover	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
29/9/15	RLB	Kama	K2S	d	Cover	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	50	0	0	10
29/9/15	RLB	Kama	K2C	a	Cover	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29/9/15	RLB	Kama	K2C	b	Cover	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
29/9/15	RLB	Kama	K2C	c	Cover	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29/9/15	RLB	Kama	K2C	d	Cover	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
29/9/15	RLB	Kama	K3S	a	Cover	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	10
29/9/15	RLB	Kama	K3S	b	Cover	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	10	0	0	10
29/9/15	RLB	Kama	K3S	c	Cover	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	10
