PLOT_ID	M7	M7	M7	M6	M6	M6	M6	M6	M6	M6	M6	M6	J1	J1	J1	J1	J1	J1	J1	J1	J1	J2	J2	J2	J2	J2	J2	J2	J2	J2	J3	J3	J3	J3	J3	J3	J3	J3	J3	J4	J4	J4	J4	J4	J4	J5	J5	J5	J6	J6	J6	J5	J5	J5	J7	J7	J7	J7	J7	J7	J8	J8	J8	J7	J7	J7	J8	J8	J8	J8	J8	J8	M2	M2	M2	M2	M2	M2	M2	M2	M2	M3	M3	M3	M3	M3	M3	M3	M3	M3	M1	M1	M1	M1	M1	M1	M1	M1	M1	M4	M4	M4	M4	M4	M4	M5	M5	M5	M5	M5	M5	M7	M7	M7	M8	M8	M8	M8	M8	M8	M8	M8	M8	M7	M7	M7	M5	M5	M5	M4	M4	M4	J4	J4	J4	J5	J5	J5	J6	J6	J6	J6	J6	J6
QUADRAT_Direction	C	C	C	A	A	A	B	B	B	C	C	C	C	C	C	B	B	B	A	A	A	C	C	C	B	B	B	A	A	A	A	A	A	B	B	B	C	C	C	B	B	B	A	A	A	B	B	B	B	B	B	C	C	C	A	A	A	B	B	B	B	B	B	C	C	C	A	A	A	C	C	C	A	A	A	B	B	B	C	C	C	A	A	A	B	B	B	C	C	C	A	A	A	B	B	B	C	C	C	B	B	B	C	C	C	A	A	A	C	C	C	B	B	B	B	B	B	C	C	C	A	A	A	A	A	A	B	B	B	A	A	A	C	C	C	A	A	A	A	A	A	C	C	C
QUAD_ID	M7C	M7C	M7C	M6A	M6A	M6A	M6B	M6B	M6B	M6C	M6C	M6C	J1C	J1C	J1C	J1B	J1B	J1B	J1A	J1A	J1A	J2C	J2C	J2C	J2B	J2B	J2B	J2A	J2A	J2A	J3A	J3A	J3A	J3B	J3B	J3B	J3C	J3C	J3C	J4B	J4B	J4B	J4A	J4A	J4A	J5B	J5B	J5B	J6B	J6B	J6B	J5C	J5C	J5C	J7A	J7A	J7A	J7B	J7B	J7B	J8B	J8B	J8B	J7C	J7C	J7C	J8A	J8A	J8A	J8C	J8C	J8C	M2A	M2A	M2A	M2B	M2B	M2B	M2C	M2C	M2C	M3A	M3A	M3A	M3B	M3B	M3B	M3C	M3C	M3C	M1A	M1A	M1A	M1B	M1B	M1B	M1C	M1C	M1C	M4B	M4B	M4B	M4C	M4C	M4C	M5A	M5A	M5A	M5C	M5C	M5C	M7B	M7B	M7B	M8B	M8B	M8B	M8C	M8C	M8C	M8A	M8A	M8A	M7A	M7A	M7A	M5B	M5B	M5B	M4A	M4A	M4A	J4C	J4C	J4C	J5A	J5A	J5A	J6A	J6A	J6A	J6C	J6C	J6C
"Aira sp."	A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	1	0	A	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	3	0	0	0	0	0	0	0	0	0	0	A	1	0	A	5	0	0	0	0	A	1	0	A	8	0	0	0	0	A	1	0	A	W	0	A	1	0	A	W	0	A	7	0	0	0	0	A	W	0	0	0	0	A	W	0	0	0	0	0	0	0
"Anthosachne scaber"	A	11	0	A	8	0	A	W	0	A	1	0	A	7	0	A	10	0	0	0	0	0	0	0	A	1	0	A	13	0	0	0	0	0	0	0	0	0	0	A	3	0	A	W	0	A	5	0	A	12	0	A	8	0	A	5	0	0	0	0	A	4	0	A	4	0	A	10	0	A	1	0	A	1	0	A	5	0	A	2	0	A	1	0	A	4	0	0	0	0	A	6	0	0	0	0	A	2	0	A	7	0	0	0	0	A	5	0	A	2	0	A	W	0	A	1	0	A	2	0	A	W	0	A	W	0	0	0	0	A	3	0	0	0	0	A	2	0	A	2	0	A	4	0
"Asperula conferta"	A	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	4	0	A	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	5	0	0	0	0	0	0	0	0	0	0	A	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"Austrostipa bigeniculata"	A	W	0	A	1	0	A	1	0	B	W	0	A	4	0	A	1	0	A	2	0	A	5	0	A	4	0	A	9	0	0	0	0	A	1	0	A	2	0	A	W	0	B	5	0	A	14	0	A	3	0	A	11	0	B	W	0	A	5	0	A	9	0	A	11	0	0	0	0	0	0	0	A	7	0	B	W	0	A	13	0	A	1	0	A	3	0	0	0	0	A	5	0	C	W	0	A	8	0	A	9	0	A	4	0	A	1	0	C	W	0	B	W	0	0	0	0	0	0	0	0	0	0	B	W	0	A	1	0	B	13	0	B	W	0	A	6	0	B	W	0	A	1	0
"Austrostipa scabra"	A	1	0	0	0	0	0	0	0	0	0	0	A	W	0	A	1	0	A	7	0	0	0	0	0	0	0	A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	2	0	0	0	0	0	0	0	A	1	0	A	1	0	0	0	0	A	2	0	0	0	0	A	4	0	0	0	0	0	0	0	0	0	0	A	3	0	0	0	0	0	0	0	0	0	0	0	0	0	A	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	3	0	A	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	8	0
"Avena sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	1	0	0	0	0	A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	10	0	A	1	0	0	0	0
"Bothriochloa macra"	A	W	0	C	W	0	C	W	0	0	0	0	A	W	0	C	W	0	A	5	0	A	W	0	B	W	0	B	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	W	0	B	W	0	C	W	0	B	7	0	C	W	0	B	W	0	C	W	0	A	3	0	A	11	0	A	W	0	A	9	0	B	10	0	C	W	0	C	W	0	A	3	0	B	13	0	B	W	0	B	W	0	0	0	0	B	W	0	A	1	0	0	0	0	A	W	0	0	0	0	0	0	0	0	0	0	B	W	0	B	W	0	A	8	0	A	2	0	B	11	0	A	11	0
"Briza minor"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
